Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"BUZZER2"	"BUZ-TH_BD12.0-P7.60-D0.6-FD"	"110.74mm"	"87mm"	"110.74mm"	"87mm"	"106.94mm"	"87mm"	"T"	"0"	"HMB1206-05"
"CN1"	"CONN-TH_3P-P5.08_1711738"	"30.61mm"	"93.98mm"	"30.61mm"	"93.98mm"	"30.61mm"	"88.9mm"	"T"	"90"	"AUX_PWM"
"CN2"	"JST XH 2 RA"	"93.98mm"	"87.12mm"	"93.98mm"	"87.12mm"	"93.98mm"	"88.37mm"	"T"	"0"	"EXT BUZZ"
"CN3"	"CONN-TH_3P-P5.08_1711738"	"190.88mm"	"72.52mm"	"190.88mm"	"72.52mm"	"190.88mm"	"67.44mm"	"T"	"90"	"RESET_REL"
"CN4"	"CONN-TH_3P-P5.08_1711738"	"190.88mm"	"55.87mm"	"190.88mm"	"55.87mm"	"190.88mm"	"50.79mm"	"T"	"90"	"50V_REL"
"CN5"	"CONN-TH_3P-P5.08_1711738"	"190.88mm"	"39.22mm"	"190.88mm"	"39.22mm"	"190.88mm"	"34.14mm"	"T"	"90"	"BIAS_REL"
"CN7"	"CONN-TH_3P-P5.08_1711738"	"111mm"	"102.62mm"	"111mm"	"102.62mm"	"105.92mm"	"102.62mm"	"T"	"0"	"FANS"
"CN8"	"CONN-TH_3P-P5.08_1711738"	"190.88mm"	"22.57mm"	"190.88mm"	"22.57mm"	"190.88mm"	"17.49mm"	"T"	"90"	"PTT_REL"
"K5"	"RELAY-TH_SRD-XXVDC-SD-C"	"173.61mm"	"72.52mm"	"173.61mm"	"72.52mm"	"168.51mm"	"66.52mm"	"T"	"0"	"RESET RELE"
"K6"	"RELAY-TH_SRD-XXVDC-SD-C"	"173.61mm"	"39.22mm"	"173.61mm"	"39.22mm"	"168.51mm"	"33.22mm"	"T"	"0"	"BIAS RELE"
"K7"	"RELAY-TH_SRD-XXVDC-SD-C"	"173.61mm"	"22.57mm"	"173.61mm"	"22.57mm"	"168.51mm"	"16.57mm"	"T"	"0"	"PTT RELE"
"K9"	"RELAY-TH_SRD-XXVDC-SD-C"	"173.61mm"	"55.87mm"	"173.61mm"	"55.87mm"	"168.51mm"	"49.87mm"	"T"	"0"	"50VRELE"
